iso_code,d,total_cases,total_deaths,reproduction_rate,total_tests,stringency_index
CAN,2021-01-01,591149,15806,1.06,18097623,70.83
CAN,2021-01-02,598091,15914,1.07,18229970,70.83
CAN,2021-01-03,608734,16006,1.09,18342575,70.83
CAN,2021-01-04,618801,16247,1.08,18430711,70.83
CAN,2021-01-05,626129,16389,1.07,18514140,70.83
CAN,2021-01-06,634437,16539,1.06,18597612,73.61
CAN,2021-01-07,642978,16704,1.04,18716320,73.61
CAN,2021-01-08,652373,16846,1.03,18851810,73.61
CAN,2021-01-09,659647,16984,1.01,18998073,75.46
CAN,2021-01-10,666375,17074,0.99,19139670,75.46
CAN,2021-01-11,674624,17199,0.97,19260709,75.46
CAN,2021-01-12,681015,17359,0.96,19355884,75.46
CAN,2021-01-13,688097,17539,0.94,19449427,75.46
CAN,2021-01-14,695359,17686,0.93,19569464,75.46
CAN,2021-01-15,702203,17856,0.92,19713708,75.46
CAN,2021-01-16,708263,17978,0.91,19860051,75.46
CAN,2021-01-17,714316,18106,0.89,20001761,75.46
CAN,2021-01-18,720440,18231,0.88,20122360,75.46
CAN,2021-01-19,725599,18382,0.87,20205977,75.46
CAN,2021-01-20,731371,18567,0.87,20285433,75.46
CAN,2021-01-21,737654,18706,0.86,20407889,75.46
CAN,2021-01-22,743384,18887,0.85,20546199,75.46
CAN,2021-01-23,748123,18992,0.85,20688427,75.46
CAN,2021-01-24,752510,19119,0.84,20817447,75.46
CAN,2021-01-25,758142,19245,0.83,20924370,75.46
CAN,2021-01-26,762368,19392,0.83,21001832,75.46
CAN,2021-01-27,766633,19485,0.83,21078482,75.46
CAN,2021-01-28,771358,19676,0.83,21201895,75.46
CAN,2021-01-29,776171,19825,0.83,21334846,75.46
CAN,2021-01-30,780147,19958,0.82,21471772,75.46
CAN,2021-01-31,783735,20041,0.82,21593178,75.46
CAN,2021-02-01,788323,20145,0.82,21695238,75.46
CAN,2021-02-02,791385,20242,0.82,21765562,75.46
CAN,2021-02-03,794681,20361,0.82,21837984,75.46
CAN,2021-02-04,798650,20486,0.82,21947836,75.46
CAN,2021-02-05,802904,20607,0.83,22072745,75.46
CAN,2021-02-06,806010,20700,0.83,22196761,75.46
CAN,2021-02-07,808973,20760,0.83,22318959,75.46
CAN,2021-02-08,812700,20830,0.83,22418263,75.46
CAN,2021-02-09,815526,20914,0.84,22484611,75.46
CAN,2021-02-10,818967,21007,0.84,22557097,75.46
CAN,2021-02-11,822038,21089,0.84,22671229,75.46
CAN,2021-02-12,824754,21168,0.85,22800850,75.46
CAN,2021-02-13,828335,21238,0.86,22922404,75.46
CAN,2021-02-14,830352,21261,0.87,23040160,75.46
CAN,2021-02-15,832058,21298,0.87,23138775,75.46
CAN,2021-02-16,836455,21395,0.9,23209222,75.46
CAN,2021-02-17,838998,21439,0.9,23277743,75.46
CAN,2021-02-18,842393,21509,0.92,23366022,75.46
CAN,2021-02-19,845454,21581,0.92,23486748,75.46
