iso_code,countryname,continentname,population,gdp_per_capita
DOM,Dominican Republic,North America,10953714,14600.861
ETH,Ethiopia,Africa,117876226,1729.927
USA,United States,North America,332915074,54225.446
ROU,Romania,Europe,19127772,23313.199
SVN,Slovenia,Europe,2078723,31400.84
SWZ,Eswatini,Africa,1172369,7738.975
FRA,France,Europe,67564251,38605.671
MMR,Myanmar,Asia,54806014,5591.597
PNG,Papua New Guinea,Oceania,9119005,3823.194
BGR,Bulgaria,Europe,6896655,18563.307
MSR,Montserrat,North America,4981,
OMN,Oman,Asia,5223376,37960.709
PCN,Pitcairn,Oceania,47,
MNG,Mongolia,Asia,3329282,11840.846
TLS,Timor,Asia,1343875,6570.102
BEL,Belgium,Europe,11632334,42658.576
TCA,Turks and Caicos Islands,North America,39226,
BDI,Burundi,Africa,12255429,702.225
EGY,Egypt,Africa,104258327,10550.206
HND,Honduras,North America,10062994,4541.795
PYF,French Polynesia,Oceania,282534,
KIR,Kiribati,Oceania,121388,1981.132
SLV,El Salvador,North America,6518500,7292.458
BMU,Bermuda,North America,62092,50669.315
AZE,Azerbaijan,Asia,10223344,15847.419
BLZ,Belize,North America,404915,7824.362
FJI,Fiji,Oceania,902899,8702.975
SVK,Slovakia,Europe,5460726,30155.152
NIU,Niue,Oceania,1614,
PHL,Philippines,Asia,111046910,7599.188
JAM,Jamaica,North America,2973462,8193.571
SOM,Somalia,Africa,16359500,
LBN,Lebanon,Asia,6769151,13367.565
MKD,North Macedonia,Europe,2082661,13111.214
ARE,United Arab Emirates,Asia,9991083,67293.483
VGB,British Virgin Islands,North America,30423,
LBR,Liberia,Africa,5180208,752.788
AIA,Anguilla,North America,15125,
RUS,Russia,Europe,145912022,24765.954
BIH,Bosnia and Herzegovina,Europe,3263459,11713.895
AND,Andorra,Europe,77354,
BOL,Bolivia,South America,11832936,6885.829
VCT,Saint Vincent and the Grenadines,North America,111269,10727.146
MOZ,Mozambique,Africa,32163045,1136.103
NLD,Netherlands,Europe,17173094,48472.545
CYP,Cyprus,Europe,888005,32415.132
OWID_KOS,Kosovo,Europe,1932774,9795.834
IRL,Ireland,Europe,4982904,67335.293
WSM,Samoa,Oceania,200144,6021.557
BHR,Bahrain,Asia,1748295,43290.705
CPV,Cape Verde,Africa,561901,6222.554
QAT,Qatar,Asia,2930524,116935.6
MDA,Moldova,Europe,4024025,5189.972
MLT,Malta,Europe,514564,36513.323
ECU,Ecuador,South America,17888474,10581.936
MHL,Marshall Islands,Oceania,59618,3819.202
GUY,Guyana,South America,790329,7435.047
MWI,Malawi,Africa,19647681,1095.042
ABW,Aruba,North America,107195,35973.781
TUR,Turkey,Asia,85042736,25129.341
HUN,Hungary,Europe,9634162,26777.561
TGO,Togo,Africa,8478242,1429.813
COL,Colombia,South America,51265841,13254.949
TUV,Tuvalu,Oceania,11925,3575.104
SLE,Sierra Leone,Africa,8141343,1390.3
GBR,United Kingdom,Europe,68207114,39753.244
NRU,Nauru,Oceania,10873,12895.635
BWA,Botswana,Africa,2397240,15807.374
BGD,Bangladesh,Asia,166303494,3523.984
