iso_code,d,total_vaccinations,people_vaccinated,people_fully_vaccinated
AFG,2021-05-11,504502,448878,55624
AFG,2021-05-20,547901,470341,77560
AFG,2021-05-24,573277,476367,96910
AFG,2021-05-26,590454,479372,111082
AFG,2021-05-27,593313,479574,113739
AFG,2021-05-30,600152,480226,119926
AFG,2021-06-02,626290,481690,144600
AFG,2021-06-03,630305,481800,148505
AFG,2021-06-08,641295,482952,158343
AFG,2021-06-14,662003,484737,177266
AFG,2021-06-22,765890,582128,183762
AFG,2021-06-27,835694,649434,186260
AFG,2021-06-30,886854,699200,187654
AFG,2021-07-05,915671,726349,189322
AFG,2021-07-07,934463,735213,199250
AFG,2021-07-11,962093,742934,219159
AFG,2021-08-20,1201286,770542,430744
ALB,2021-02-02,550,549,1
ALB,2021-02-09,1127,689,438
ALB,2021-02-17,1701,1090,611
ALB,2021-02-18,3049,2438,611
ALB,2021-02-22,6728,6073,655
ALB,2021-05-11,622507,440921,181586
ALB,2021-05-12,632676,444755,187921
ALB,2021-05-13,638338,445402,192936
ALB,2021-05-14,653330,448571,204759
ALB,2021-05-17,680083,456980,223103
ALB,2021-05-18,688947,460191,228756
ALB,2021-05-19,697811,463402,234409
ALB,2021-05-20,703743,466083,237660
ALB,2021-05-21,708846,469169,239677
ALB,2021-05-23,716616,472840,243776
ALB,2021-05-24,725135,475237,249898
ALB,2021-05-26,748986,479789,269197
ALB,2021-05-27,759043,481788,277255
ALB,2021-05-30,772204,485162,287042
ALB,2021-05-31,776461,486128,290333
ALB,2021-06-01,780342,487078,293264
ALB,2021-06-03,787321,490050,297271
ALB,2021-06-06,798624,492522,306102
ALB,2021-06-07,803682,493346,310336
ALB,2021-06-08,809992,494437,315555
ALB,2021-06-09,816556,496024,320532
ALB,2021-06-10,823053,498437,324616
ALB,2021-06-11,830281,501735,328546
ALB,2021-06-12,834868,503721,331147
ALB,2021-06-13,836430,504257,332173
ALB,2021-06-14,842535,507764,334771
ALB,2021-06-15,848430,507854,340576
ALB,2021-06-16,854227,509282,344945
ALB,2021-06-17,862628,511175,351453
