iso_code,countryname,months,total_cases,total_deaths,fatality_rate
AFG,Afghanistan,2020-02,5,,
AFG,Afghanistan,2020-03,166,4,0.02409638554216867470
AFG,Afghanistan,2020-04,1827,60,0.03284072249589490969
AFG,Afghanistan,2020-05,15180,254,0.01673254281949934124
AFG,Afghanistan,2020-06,31445,739,0.02350135156622674511
AFG,Afghanistan,2020-07,36628,1275,0.03480943540460849623
AFG,Afghanistan,2020-08,38248,1406,0.03676009203095586697
AFG,Afghanistan,2020-09,39354,1462,0.03714997204858464197
AFG,Afghanistan,2020-10,41334,1533,0.03708811148207286979
AFG,Afghanistan,2020-11,46215,1763,0.03814778751487612247
AFG,Afghanistan,2020-12,52330,2189,0.04183068985285686986
AFG,Afghanistan,2021-01,55023,2400,0.04361812333024371626
AFG,Afghanistan,2021-02,55714,2443,0.04384894281509135944
AFG,Afghanistan,2021-03,56454,2484,0.04400042512488043363
AFG,Afghanistan,2021-04,59745,2625,0.04393673110720562390
AGO,Angola,2020-03,7,2,0.28571428571428571429
AGO,Angola,2020-04,27,2,0.07407407407407407407
AGO,Angola,2020-05,86,4,0.04651162790697674419
AGO,Angola,2020-06,284,13,0.04577464788732394366
AGO,Angola,2020-07,1148,52,0.04529616724738675958
AGO,Angola,2020-08,2654,108,0.04069329314242652600
AGO,Angola,2020-09,4972,183,0.03680611423974255833
AGO,Angola,2020-10,10805,284,0.02628412771864877372
AGO,Angola,2020-11,15139,348,0.02298698725146971398
AGO,Angola,2020-12,17553,405,0.02307297897795248675
AGO,Angola,2021-01,19796,466,0.02354010911295211154
AGO,Angola,2021-02,20807,508,0.02441486038352477532
AGO,Angola,2021-03,22311,537,0.02406884496436735243
AGO,Angola,2021-04,26652,596,0.02236229926459552754
ALB,Albania,2020-03,243,15,0.06172839506172839506
ALB,Albania,2020-04,773,31,0.04010349288486416559
ALB,Albania,2020-05,1137,33,0.02902374670184696570
ALB,Albania,2020-06,2535,62,0.02445759368836291913
ALB,Albania,2020-07,5276,157,0.02975739196360879454
ALB,Albania,2020-08,9513,284,0.02985388415851992011
ALB,Albania,2020-09,13649,387,0.02835372554765916917
ALB,Albania,2020-10,20875,509,0.02438323353293413174
ALB,Albania,2020-11,38182,810,0.02121418469435859829
ALB,Albania,2020-12,58316,1181,0.02025173194320598121
ALB,Albania,2021-01,78127,1380,0.01766354781317598269
ARE,United Arab Emirates,2020-01,4,,
ARE,United Arab Emirates,2020-02,21,,
ARE,United Arab Emirates,2020-03,664,6,0.00903614457831325301
ARE,United Arab Emirates,2020-04,12481,105,0.00841278743690409422
ARE,United Arab Emirates,2020-05,34557,264,0.00763955204444830280
ARE,United Arab Emirates,2020-06,48667,315,0.00647255840713419771
ARE,United Arab Emirates,2020-07,60506,351,0.00580107757908306614
ARE,United Arab Emirates,2020-08,70231,384,0.00546767097150830830
ARE,United Arab Emirates,2020-09,94190,419,0.00444845525002654210
ARE,United Arab Emirates,2020-10,132629,495,0.00373221542799840156
ARE,United Arab Emirates,2020-11,168860,572,0.00338742153263058155
ARE,United Arab Emirates,2020-12,207822,669,0.00321910096139965932
ARG,Argentina,2020-03,1054,27,0.02561669829222011385
ARG,Argentina,2020-04,4428,218,0.04923215898825654923
ARG,Argentina,2020-05,16851,539,0.03198623227108183491
ARG,Argentina,2020-06,64530,1307,0.02025414535874786921
ARG,Argentina,2020-07,191302,3543,0.01852045456921516764
ARG,Argentina,2020-08,417735,8660,0.02073084611057249213
ARG,Argentina,2020-09,751001,16937,0.02255256650790078841
ARG,Argentina,2020-10,1166924,31002,0.02656728287360616458
ARG,Argentina,2020-11,1424533,38730,0.02718785735395389226
ARG,Argentina,2020-12,1625514,43245,0.02660389267640881592
ARM,Armenia,2020-03,532,3,0.00563909774436090226
ARM,Armenia,2020-04,2066,32,0.01548886737657308809
ARM,Armenia,2020-05,9282,131,0.01411333764274940746
ARM,Armenia,2020-06,25542,443,0.01734398246026153003
ARM,Armenia,2020-07,38550,738,0.01914396887159533074
ARM,Armenia,2020-08,43781,879,0.02007720243941435783
ARM,Armenia,2020-09,50359,959,0.01904326932623761393
ARM,Armenia,2020-10,89813,1341,0.01493102334851302150
ARM,Armenia,2020-11,135124,2164,0.01601491962937746070
ARM,Armenia,2020-12,159409,2823,0.01770916322164996958
ARM,Armenia,2021-01,167026,3080,0.01844024283644462539
ARM,Armenia,2021-02,172058,3192,0.01855188366713550082
ARM,Armenia,2021-03,192639,3515,0.01824656481813132336
ARM,Armenia,2021-04,216064,4108,0.01901288507109004739
ARM,Armenia,2021-05,222670,4438,0.01993083935869223515
ATG,Antigua and Barbuda,2020-03,7,,
ATG,Antigua and Barbuda,2020-04,24,3,0.12500000000000000000
ATG,Antigua and Barbuda,2020-05,26,3,0.11538461538461538462
ATG,Antigua and Barbuda,2020-06,69,3,0.04347826086956521739
ATG,Antigua and Barbuda,2020-07,91,3,0.03296703296703296703
ATG,Antigua and Barbuda,2020-08,94,3,0.03191489361702127660
ATG,Antigua and Barbuda,2020-09,101,3,0.02970297029702970297
ATG,Antigua and Barbuda,2020-10,128,3,0.02343750000000000000
ATG,Antigua and Barbuda,2020-11,141,4,0.02836879432624113475
ATG,Antigua and Barbuda,2020-12,159,5,0.03144654088050314465
ATG,Antigua and Barbuda,2021-01,234,7,0.02991452991452991453
ATG,Antigua and Barbuda,2021-02,730,14,0.01917808219178082192
ATG,Antigua and Barbuda,2021-03,1136,28,0.02464788732394366197
ATG,Antigua and Barbuda,2021-04,1232,32,0.02597402597402597403
AUS,Australia,2020-01,9,,
AUS,Australia,2020-02,25,,
AUS,Australia,2020-03,4559,18,0.00394823426189953937
AUS,Australia,2020-04,6766,93,0.01374519657109074786
AUS,Australia,2020-05,7202,103,0.01430158289364065537
AUS,Australia,2020-06,7920,104,0.01313131313131313131
AUS,Australia,2020-07,17280,201,0.01163194444444444444
AUS,Australia,2020-08,25819,657,0.02544637669932995081
AUS,Australia,2020-09,27096,888,0.03277236492471213463
AUS,Australia,2020-10,27595,907,0.03286827323790541765
AUS,Australia,2020-11,27912,908,0.03253081112066494698
AUS,Australia,2020-12,28425,909,0.03197889182058047493
AUS,Australia,2021-01,28818,909,0.03154278575890068707
AUS,Australia,2021-02,28978,909,0.03136862447373869832
AUS,Australia,2021-03,29322,909,0.03100061387354205034
AUS,Australia,2021-04,29811,910,0.03052564489617926269
AUT,Austria,2020-02,9,,
AUT,Austria,2020-03,10180,128,0.01257367387033398821
AUT,Austria,2020-04,15452,584,0.03779446026404348952
AUT,Austria,2020-05,16731,668,0.03992588607973223358
AUT,Austria,2020-06,17766,705,0.03968253968253968254
AUT,Austria,2020-07,21130,718,0.03398012304779933743
AUT,Austria,2020-08,27438,733,0.02671477512938260806
AUT,Austria,2020-09,44813,799,0.01782964764688817977
AUT,Austria,2020-10,104925,1109,0.01056945437217059805
AUT,Austria,2020-11,282456,3184,0.01127255218511909820
AUT,Austria,2020-12,360815,6222,0.01724429416737109045
AZE,Azerbaijan,2020-03,298,5,0.01677852348993288591
AZE,Azerbaijan,2020-04,1804,24,0.01330376940133037694
AZE,Azerbaijan,2020-05,5494,63,0.01146705496905715326
AZE,Azerbaijan,2020-06,17524,213,0.01215475918740013696
AZE,Azerbaijan,2020-07,31878,448,0.01405357927097057532
AZE,Azerbaijan,2020-08,36435,534,0.01465623713462330177
AZE,Azerbaijan,2020-09,40229,591,0.01469089462825325014
AZE,Azerbaijan,2020-10,55269,730,0.01320812752175722376
AZE,Azerbaijan,2020-11,121176,1392,0.01148742325212913448
AZE,Azerbaijan,2020-12,218700,2641,0.01207590306355738455
AZE,Azerbaijan,2021-01,230219,3132,0.01360443751384551232
AZE,Azerbaijan,2021-02,234537,3220,0.01372917705948315191
AZE,Azerbaijan,2021-03,261713,3567,0.01362943376905235888
BEL,Belgium,2020-02,1,,
BEL,Belgium,2020-03,12775,705,0.05518590998043052838
BEL,Belgium,2020-04,48519,7594,0.15651600403965456831
BEL,Belgium,2020-05,58381,9467,0.16215892156694815094
BEL,Belgium,2020-06,61427,9747,0.15867615218063717909
BEL,Belgium,2020-07,68751,9841,0.14313973614929237393
BEL,Belgium,2020-08,85236,9996,0.11727439110235111925
BEL,Belgium,2020-09,118452,10016,0.08455745787323135110
BEL,Belgium,2020-10,429229,11625,0.02708344496760470518
BEL,Belgium,2020-11,577345,16645,0.02883024881136928526
BEN,Benin,2020-03,9,,
BEN,Benin,2020-04,64,1,0.01562500000000000000
BEN,Benin,2020-05,339,3,0.00884955752212389381
BEN,Benin,2020-06,1199,21,0.01751459549624687239
BEN,Benin,2020-07,1805,36,0.01994459833795013850
BEN,Benin,2020-08,2145,40,0.01864801864801864802
BEN,Benin,2020-09,2357,41,0.01739499363597793806
BEN,Benin,2020-10,2643,41,0.01551267499054105184
BEN,Benin,2020-11,3015,43,0.01426202321724709784
BEN,Benin,2020-12,3251,44,0.01353429713934174100
BEN,Benin,2021-01,3893,52,0.01335730798869766247
