iso_code,countryname,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,smoking_rate,death_rate
PRY,Paraguay,8827.01,199.128,8.27,13.3,3.52066
MDG,Madagascar,1416.44,405.994,3.94,,2.23320
TZA,Tanzania,2683.304,217.288,5.75,15,3.65764
NLD,Netherlands,48472.545,109.361,5.29,25.85,0.91190
VEN,Venezuela,16745.022,204.85,6.47,,1.21442
PSE,Palestine,4449.898,265.91,10.59,,1.01417
COG,Congo,4881.406,344.094,7.2,27,1.35496
HUN,Hungary,26777.561,278.296,7.55,30.8,3.67374
AUT,Austria,45436.686,145.183,6.35,29.65,1.48887
IRL,Ireland,67335.293,126.459,3.28,24.35,1.35046
GBR,United Kingdom,39753.244,122.137,4.28,22.35,1.76493
ISR,Israel,33132.32,93.32,6.74,25.4,0.60493
CAF,Central African Republic,661.24,435.727,6.1,,0.87943
MMR,Myanmar,5591.597,202.104,4.61,20.75,3.82708
GMB,Gambia,1561.767,331.43,1.91,15.95,3.37362
EST,Estonia,29481.252,255.569,4.02,31.9,0.87445
HKG,Hong Kong,56054.92,,8.33,,1.74647
KNA,Saint Kitts and Nevis,24654.385,,12.84,,0.58761
URY,Uruguay,20551.409,160.708,6.93,16.95,1.55776
CPV,Cape Verde,6222.554,182.219,2.42,9.3,0.89667
BEL,Belgium,42658.576,114.898,4.29,28.25,2.06467
MNE,Montenegro,16409.288,387.305,10.08,45.95,1.46627
MRT,Mauritania,3597.633,232.347,2.42,,2.15108
BTN,Bhutan,8708.597,217.066,9.75,,0.11543
VNM,Vietnam,6171.884,245.465,6,23.45,2.44866
CZE,Czechia,32605.906,227.485,6.82,34.4,1.80242
FJI,Fiji,8702.975,412.82,14.49,22.5,1.16519
ERI,Eritrea,1510.459,311.11,6.05,5.8,0.62743
LBN,Lebanon,13367.565,266.591,12.71,33.8,1.33282
SVN,Slovenia,31400.84,153.493,7.25,22.55,1.56714
LTU,Lithuania,29524.265,342.989,3.67,29.65,1.50924
CIV,Cote d'Ivoire,3601.006,303.74,2.42,,1.01205
PHL,Philippines,7599.188,370.437,7.07,24.3,1.50169
MLT,Malta,36513.323,168.711,8.83,25.55,1.23171
DJI,Djibouti,2705.406,258.037,6.05,13.1,1.32213
SEN,Senegal,2470.58,241.219,2.42,8.5,2.51536
ESP,Spain,34272.36,99.403,7.17,29.4,1.74282
TUN,Tunisia,10849.297,318.991,8.52,33.45,3.51452
GHA,Ghana,4227.63,298.245,4.97,4,0.90540
SGP,Singapore,85535.383,92.243,10.99,16.75,0.08935
JAM,Jamaica,8193.571,206.537,11.28,16.95,2.21727
BLR,Belarus,17167.967,443.129,5.18,28.3,0.77084
BRB,Barbados,16978.068,170.05,13.57,8.2,0.87584
SUR,Suriname,13767.119,258.314,12.54,25.15,2.12719
ROU,Romania,23313.199,370.946,9.74,30,3.03811
OMN,Oman,37960.709,266.342,12.61,8.05,1.34849
HRV,Croatia,22669.797,253.782,5.59,37.1,2.15092
GRC,Greece,24574.382,175.695,4.55,43.65,2.27237
LBR,Liberia,752.788,272.509,2.42,9.8,4.88436
MYS,Malaysia,26808.164,260.942,16.74,21.7,1.16309
GNB,Guinea-Bissau,1548.675,382.474,2.42,,2.21348
TJK,Tajikistan,2896.913,427.698,7.11,,0.71494
HTI,Haiti,1653.173,430.548,6.65,13,2.83194
NIC,Nicaragua,5321.444,137.016,11.47,,1.47851
LAO,Laos,6397.36,368.111,4,29.25,0.07130
BHR,Bahrain,43290.705,151.689,16.52,21.7,0.50532
NGA,Nigeria,5338.454,181.013,2.42,5.7,1.31378
DOM,Dominican Republic,14600.861,266.653,8.2,13.8,1.13030
MUS,Mauritius,20292.745,224.644,22.02,21.95,0.51329
LBY,Libya,17881.509,341.862,10.43,,1.36642
ATG,Antigua and Barbuda,21490.943,191.511,13.17,,2.18953
CRI,Costa Rica,15524.995,137.973,8.78,11.9,1.19335
PRT,Portugal,27936.896,127.842,9.85,23.15,1.68248
OWID_KOS,Kosovo,9795.834,,,,1.83810
ZWE,Zimbabwe,1899.775,307.846,1.82,16.15,3.54606
MDV,Maldives,15183.616,164.905,9.19,28.55,0.27342
AZE,Azerbaijan,15847.419,559.812,7.11,21.4,1.34524
NOR,Norway,64800.057,114.316,5.31,20.15,0.45311
ZMB,Zambia,3689.251,234.499,3.94,13.9,1.74609
MDA,Moldova,5189.972,408.502,5.72,25.25,2.31448
DNK,Denmark,46682.515,114.767,6.41,19.05,0.73748
BLZ,Belize,7824.362,176.957,17.11,,2.03058
AGO,Angola,5819.495,276.045,3.94,,2.72206
DMA,Dominica,9673.367,227.376,11.62,,0.45551
BOL,Bolivia,6885.829,204.299,6.89,,3.74738
SSD,South Sudan,1569.888,280.775,10.43,,1.07077
MWI,Malawi,1095.042,227.349,3.94,14.55,3.70304
IRQ,Iraq,15663.986,218.612,8.83,,1.10920
LSO,Lesotho,2851.153,405.126,3.94,27.15,2.79958
KHM,Cambodia,3645.07,270.892,4,17.85,2.05684
NPL,Nepal,2442.804,260.797,7.26,23.65,1.40124
IND,India,6426.674,282.28,10.39,11.25,1.32761
EGY,Egypt,10550.206,525.432,17.31,25.15,5.69714
SWZ,Eswatini,7738.975,333.436,3.94,9.1,2.64778
CMR,Cameroon,3364.926,244.661,7.2,,1.60161
GUY,Guyana,7435.047,373.159,11.62,,2.47151
CHL,Chile,22767.037,127.993,8.46,37.85,2.26615
BGR,Bulgaria,18563.307,424.688,5.81,37.25,4.16595
GTM,Guatemala,7423.808,155.898,10.18,,2.43380
GEO,Georgia,9745.079,496.218,7.11,30.4,1.45663
ARG,Argentina,18933.907,191.032,5.5,21.95,2.18879
USA,United States,54225.446,151.089,10.79,21.85,1.60131
