iso_code,countryname,gdp_per_capita,population,deaths_rate,diagnosed_rate,fatality_rate,human_development_index,aged_65_older,population_density
AFG,Afghanistan,1803.987,39835428,0.00018074363353143840,0.00389281621374822432,0.04643004539826661164,0.511,2.581,54.422
AGO,Angola,5819.495,33933611,0.000044587061483082363383,0.00163799249069013021,0.02722055304679488333,0.581,2.405,23.89
ALB,Albania,11803.431,2872934,0.00092344620516865337,0.05854224287783847454,0.01577401479296977192,0.795,13.188,104.871
ARE,United Arab Emirates,67293.483,9991083,0.00020958688862859011,0.07358361450905772677,0.00284828205337468375,0.89,1.144,112.442
ARG,Argentina,18933.907,45605823,0.00252059917874960836,0.11515941725248549949,0.02188791189541388515,0.845,11.198,16.177
ARM,Armenia,8787.58,2968128,0.00177350842012204325,0.08726274608103154581,0.02032377503310721332,0.776,11.232,102.931
ATG,Antigua and Barbuda,21490.943,98728,0.00064824568511465846,0.02960659589984604165,0.02189531303455354088,0.778,6.933,231.845
AUS,Australia,44648.71,25788217,0.000048704414112848515273,0.00391306618832934437,0.01244661137041551466,0.944,15.504,3.202
AUT,Austria,45436.686,9043072,0.00121374683293464876,0.08152119102888929780,0.01488872791989169861,0.922,19.202,106.749
AZE,Azerbaijan,15847.419,10223344,0.00063345222463413145,0.04708840864593815879,0.01345240246696620904,0.756,6.018,119.309
BDI,Burundi,702.225,12255429,0.000003100666651489719373,0.00133459220399383816,0.00232330643189043776,0.433,2.562,423.062
BEL,Belgium,42658.576,11632334,0.00219801116439744595,0.10645825678664316207,0.02064669505910245664,0.931,18.571,375.564
BEN,Benin,2064.236,12451031,0.000012368453664600144358,0.00184386337163565009,0.00670790138513807823,0.545,3.244,99.11
BFA,Burkina Faso,1703.102,21497097,0.000008419741512074862945,0.00065976350202076122,0.01276175703306775717,0.452,2.409,70.151
BGD,Bangladesh,3523.984,166303494,0.00016499352683473986,0.00933572087186574685,0.01767335689437401252,0.632,5.098,1265.036
BGR,Bulgaria,18563.307,6896655,0.00299246518783381219,0.07183148932344738138,0.04165951751827322329,0.816,20.801,65.18
BHR,Bahrain,43290.705,1748295,0.00079448834435836057,0.15722575423484023005,0.00505316923569451064,0.852,2.372,1935.907
BHS,Bahamas,27717.847,396914,0.00131766579158205556,0.05234131323158165245,0.02517448856799037304,0.814,8.996,39.497
BIH,Bosnia and Herzegovina,11713.895,3263459,0.00321989643504024411,0.07116283673243635051,0.04524688141855087691,0.78,16.569,68.496
BLR,Belarus,17167.967,9442867,0.00043440196711443675,0.05635460077961491992,0.00770836739334284195,0.823,14.799,46.858
BLZ,Belize,7824.362,404915,0.00100020992060061988,0.04925725152192435449,0.02030584106292303836,0.716,3.853,16.426
BOL,Bolivia,6885.829,11832936,0.00158092632293456163,0.04218750105637349851,0.03747380819788382258,0.718,6.704,10.202
