iso_code,continent,location,d,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CAN,North America,Canada,2021-03-01,874909.0,3666.0,3001.143,22018.0,23.0,42.0,22982.846,96.302,78.837,578.387,0.604,1.103,0.98,602.0,15.814,2114.0,55.532,,,,,101453.0,24545470.0,644.781,2.665,103190.0,2.711,0.029,34.4,tests performed,1946200.0,1407961.0,538239.0,,59141.0,55441.0,5.11,3.7,1.41,,1456.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-02,877747.0,2838.0,2934.429,22046.0,28.0,40.429,23057.397,74.551,77.084,579.123,0.736,1.062,0.98,604.0,15.866,2166.0,56.898,,,,,75664.0,24621134.0,646.769,1.988,104045.0,2.733,0.028,35.5,tests performed,2018238.0,1470034.0,548204.0,,72038.0,58824.0,5.3,3.86,1.44,,1545.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-03,880487.0,2740.0,2898.143,22106.0,60.0,42.286,23129.374,71.977,76.131,580.699,1.576,1.111,0.99,586.0,15.394,2138.0,56.163,,,,,77132.0,24698266.0,648.795,2.026,105201.0,2.764,0.028,36.3,tests performed,2091700.0,1537273.0,554427.0,,73462.0,62734.0,5.49,4.04,1.46,,1648.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-04,883619.0,3132.0,2902.571,22152.0,46.0,40.571,23211.648,82.274,76.247,581.907,1.208,1.066,1.0,584.0,15.341,2111.0,55.454,,,,,115024.0,24813290.0,651.816,3.022,105083.0,2.76,0.028,36.2,tests performed,2169417.0,1610535.0,558882.0,,77717.0,65423.0,5.7,4.23,1.47,,1719.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-05,886492.0,2873.0,2852.0,22193.0,41.0,39.571,23287.118,75.47,74.919,582.984,1.077,1.039,1.01,582.0,15.288,2080.0,54.639,,,,,125823.0,24939113.0,655.122,3.305,104812.0,2.753,0.027,36.8,tests performed,2255174.0,1693203.0,561971.0,,85757.0,68067.0,5.92,4.45,1.48,,1788.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-06,889255.0,2763.0,2885.286,22214.0,21.0,36.143,23359.699,72.581,75.793,583.536,0.552,0.949,1.02,579.0,15.21,2031.0,53.352,,,,,128656.0,25067769.0,658.501,3.38,105622.0,2.775,0.027,36.6,tests performed,2329622.0,1765405.0,564217.0,,74448.0,69884.0,6.12,4.64,1.48,,1836.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-07,891807.0,2552.0,2937.714,22240.0,26.0,35.0,23426.737,67.038,77.17,584.219,0.683,0.919,1.03,572.0,15.026,2003.0,52.616,,,,,112774.0,25180543.0,661.464,2.962,105218.0,2.764,0.028,35.8,tests performed,2387189.0,1821470.0,565719.0,,57567.0,71447.0,6.27,4.78,1.49,,1877.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,-1.75,
CAN,North America,Canada,2021-03-08,895889.0,4082.0,2997.143,22277.0,37.0,37.0,23533.967,107.229,78.731,585.191,0.972,0.972,1.04,577.0,15.157,2022.0,53.116,,,,,96855.0,25277398.0,664.008,2.544,104561.0,2.747,0.029,34.9,tests performed,2473868.0,1898266.0,575602.0,,86679.0,75381.0,6.5,4.99,1.51,,1980.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-09,898963.0,3074.0,3030.857,22305.0,28.0,37.0,23614.717,80.75,79.617,585.927,0.736,0.972,1.04,594.0,15.604,2086.0,54.797,,,,,76059.0,25353457.0,666.006,1.998,104618.0,2.748,0.029,34.5,tests performed,2543253.0,1964221.0,579032.0,,69385.0,75002.0,6.68,5.16,1.52,,1970.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,2021-03-10,901948.0,2985.0,3065.857,22336.0,31.0,32.857,23693.13,78.412,80.537,586.741,0.814,0.863,1.04,578.0,15.183,2066.0,54.271,,,,,76578.0,25430035.0,668.018,2.012,104538.0,2.746,0.029,34.1,tests performed,2621289.0,2037806.0,583483.0,,78036.0,75656.0,6.89,5.35,1.53,,1987.0,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
